,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
0,1.mp4,0,"[[1.         0.9994656  0.99975627 ... 0.         0.         0.        ]
 [0.9994656  1.         0.99955912 ... 0.         0.         0.        ]
 [0.99975627 0.99955912 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9994656  0.99975627 ... 0.         0.         0.        ]
 [0.9994656  1.         0.99955912 ... 0.         0.         0.        ]
 [0.99975627 0.99955912 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[211  78  23 ...  14  81  86]
 [212  79  24 ...  17  82  88]
 [210  78  21 ...  16  82  88]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
1,2.mp4,1,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
2,3.mp4,1,"[[0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 1.         0.98519411 0.98790798]
 [0.         0.         0.         ... 0.98519411 1.         0.99237347]
 [0.         0.         0.         ... 0.98790798 0.99237347 1.        ]]","[[1.         0.99739329 0.99624825 ... 0.         0.         0.        ]
 [0.99739329 1.         0.99822038 ... 0.         0.         0.        ]
 [0.99624825 0.99822038 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 ...
 [149 229 188 ... 193 227 228]
 [150 231 190 ... 199 232 233]
 [149 231 191 ... 198 232 233]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
3,5.mp4,0,"[[1.         0.99717215 0.99844289 ... 0.98925951 0.98629867 0.98965552]
 [0.99717215 1.         0.99448829 ... 0.99104914 0.98675188 0.9909756 ]
 [0.99844289 0.99448829 1.         ... 0.98860789 0.98438671 0.98846645]
 ...
 [0.98925951 0.99104914 0.98860789 ... 1.         0.99297114 0.99867207]
 [0.98629867 0.98675188 0.98438671 ... 0.99297114 1.         0.9958945 ]
 [0.98965552 0.9909756  0.98846645 ... 0.99867207 0.9958945  1.        ]]","[[1.         0.99717215 0.99844289 ... 0.98925951 0.98629867 0.98965552]
 [0.99717215 1.         0.99448829 ... 0.99104914 0.98675188 0.9909756 ]
 [0.99844289 0.99448829 1.         ... 0.98860789 0.98438671 0.98846645]
 ...
 [0.98925951 0.99104914 0.98860789 ... 1.         0.99297114 0.99867207]
 [0.98629867 0.98675188 0.98438671 ... 0.99297114 1.         0.9958945 ]
 [0.98965552 0.9909756  0.98846645 ... 0.99867207 0.9958945  1.        ]]","[[107 189 152 ... 209   2 250]
 [107 189 151 ... 209   2 250]
 [107 192 155 ... 207   2 250]
 ...
 [ 94 175 137 ... 215   4   1]
 [ 93 175 137 ... 215   4   1]
 [ 94 175 137 ... 214   2 254]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
4,7.mp4,1,"[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 0.]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
5,8.mp4,1,"[[1.         0.99921003 0.99692301 ... 0.         0.         0.        ]
 [0.99921003 1.         0.99566986 ... 0.         0.         0.        ]
 [0.99692301 0.99566986 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99921003 0.99692301 ... 0.         0.         0.        ]
 [0.99921003 1.         0.99566986 ... 0.         0.         0.        ]
 [0.99692301 0.99566986 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[131 226 187 ...  23  66  56]
 [131 226 187 ...  23  66  56]
 [131 226 186 ...  22  66  57]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
6,10.mp4,0,"[[1.         0.99999394 0.99992362 ... 0.98289972 0.98597327 0.98850002]
 [0.99999394 1.         0.99992591 ... 0.98289179 0.98596479 0.98848794]
 [0.99992362 0.99992591 1.         ... 0.98307198 0.98613018 0.98875868]
 ...
 [0.98289972 0.98289179 0.98307198 ... 1.         0.99631455 0.99272629]
 [0.98597327 0.98596479 0.98613018 ... 0.99631455 1.         0.99551486]
 [0.98850002 0.98848794 0.98875868 ... 0.99272629 0.99551486 1.        ]]","[[1.         0.99999394 0.99992362 ... 0.98289972 0.98597327 0.98850002]
 [0.99999394 1.         0.99992591 ... 0.98289179 0.98596479 0.98848794]
 [0.99992362 0.99992591 1.         ... 0.98307198 0.98613018 0.98875868]
 ...
 [0.98289972 0.98289179 0.98307198 ... 1.         0.99631455 0.99272629]
 [0.98597327 0.98596479 0.98613018 ... 0.99631455 1.         0.99551486]
 [0.98850002 0.98848794 0.98875868 ... 0.99272629 0.99551486 1.        ]]","[[ 97 194 146 ... 242  26  26]
 [ 97 194 146 ... 242  26  26]
 [ 97 194 146 ... 243  26  25]
 ...
 [ 56 140  91 ...  20  68  60]
 [ 58 144  97 ...  19  66  59]
 [ 60 153 101 ...  18  59  60]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
7,11.mp4,1,"[[1.         0.99020665 0.98625779 ... 0.98727474 0.98253861 0.98661151]
 [0.99020665 1.         0.98053189 ... 0.9850076  0.97922066 0.9812427 ]
 [0.98625779 0.98053189 1.         ... 0.98659475 0.97702097 0.97931648]
 ...
 [0.98727474 0.9850076  0.98659475 ... 1.         0.97370414 0.97689224]
 [0.98253861 0.97922066 0.97702097 ... 0.97370414 1.         0.99297134]
 [0.98661151 0.9812427  0.97931648 ... 0.97689224 0.99297134 1.        ]]","[[1.         0.99020665 0.98625779 ... 0.98727474 0.98253861 0.98661151]
 [0.99020665 1.         0.98053189 ... 0.9850076  0.97922066 0.9812427 ]
 [0.98625779 0.98053189 1.         ... 0.98659475 0.97702097 0.97931648]
 ...
 [0.98727474 0.9850076  0.98659475 ... 1.         0.97370414 0.97689224]
 [0.98253861 0.97922066 0.97702097 ... 0.97370414 1.         0.99297134]
 [0.98661151 0.9812427  0.97931648 ... 0.97689224 0.99297134 1.        ]]","[[137 201 172 ...  24  55  57]
 [136 201 171 ...  24  54  54]
 [136 202 172 ...  27  58  60]
 ...
 [136 201 170 ...  35  65  66]
 [137 203 171 ...  35  68  70]
 [138 204 172 ...  34  67  70]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
8,12.mp4,0,"[[1.         0.9996229  0.99769974 ... 0.         0.         0.        ]
 [0.9996229  1.         0.99771045 ... 0.         0.         0.        ]
 [0.99769974 0.99771045 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.9996229  0.99769974 ... 0.         0.         0.        ]
 [0.9996229  1.         0.99771045 ... 0.         0.         0.        ]
 [0.99769974 0.99771045 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[153  27 219 ... 163 208 215]
 [153  26 218 ... 164 206 212]
 [147  24 213 ... 163 205 211]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
9,13.mp4,1,"[[1.         0.99813578 0.99678927 ... 0.         0.         0.        ]
 [0.99813578 1.         0.99791222 ... 0.         0.         0.        ]
 [0.99678927 0.99791222 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99813578 0.99678927 ... 0.         0.         0.        ]
 [0.99813578 1.         0.99791222 ... 0.         0.         0.        ]
 [0.99678927 0.99791222 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[226  21 238 ...  80 114 115]
 [227  24 239 ...  80 114 116]
 [227  23 240 ...  80 113 115]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
