,Unnamed: 0,fname,liveness_score,embed,embed_notnull,facial_point,facial_point_notnull
0,0,0.mp4,0,"[[1.         0.99436084 0.99514153 ... 0.         0.         0.        ]
 [0.99436084 1.         0.9954967  ... 0.         0.         0.        ]
 [0.99514153 0.9954967  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99436084 0.99514153 ... 0.         0.         0.        ]
 [0.99436084 1.         0.9954967  ... 0.         0.         0.        ]
 [0.99514153 0.9954967  1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 11 113  83 ... 150 193 190]
 [  3 110  71 ... 153 200 195]
 [253 107  67 ... 155 201 192]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
1,1,100.mp4,0,"[[1.         0.99537654 0.98751267 ... 0.         0.         0.        ]
 [0.99537654 1.         0.99192102 ... 0.         0.         0.        ]
 [0.98751267 0.99192102 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99537654 0.98751267 ... 0.         0.         0.        ]
 [0.99537654 1.         0.99192102 ... 0.         0.         0.        ]
 [0.98751267 0.99192102 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[175  68 242 ... 243  69  62]
 [177  70 245 ... 242  69  62]
 [180  71 247 ... 239  64  58]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
2,2,1001.mp4,0,"[[1.         0.97789944 0.95899351 ... 0.         0.         0.        ]
 [0.97789944 1.         0.94552453 ... 0.         0.         0.        ]
 [0.95899351 0.94552453 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.97789944 0.95899351 ... 0.         0.         0.        ]
 [0.97789944 1.         0.94552453 ... 0.         0.         0.        ]
 [0.95899351 0.94552453 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[ 83 152 120 ...  93 131 121]
 [ 89 157 126 ...  90 128 119]
 [ 87 161 130 ...  94 132 122]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
3,3,1005.mp4,0,"[[1.         0.99714675 0.98267971 ... 0.         0.         0.        ]
 [0.99714675 1.         0.98477714 ... 0.         0.         0.        ]
 [0.98267971 0.98477714 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99714675 0.98267971 ... 0.         0.         0.        ]
 [0.99714675 1.         0.98477714 ... 0.         0.         0.        ]
 [0.98267971 0.98477714 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[128 220 171 ... 196 242 241]
 [129 220 172 ... 192 241 240]
 [129 222 176 ... 198 250 248]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
4,4,1022.mp4,0,"[[1.         0.99921911 0.994872   ... 0.         0.         0.        ]
 [0.99921911 1.         0.99506951 ... 0.         0.         0.        ]
 [0.994872   0.99506951 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99921911 0.994872   ... 0.         0.         0.        ]
 [0.99921911 1.         0.99506951 ... 0.         0.         0.        ]
 [0.994872   0.99506951 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[104 204 154 ... 241  31  27]
 [104 204 154 ... 241  31  27]
 [104 205 156 ... 241  33  29]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
5,5,1023.mp4,0,"[[1.         0.98405184 0.97274985 ... 0.         0.         0.        ]
 [0.98405184 1.         0.97027699 ... 0.         0.         0.        ]
 [0.97274985 0.97027699 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.98405184 0.97274985 ... 0.         0.         0.        ]
 [0.98405184 1.         0.97027699 ... 0.         0.         0.        ]
 [0.97274985 0.97027699 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[154 248 187 ... 112 165 163]
 [152 246 189 ... 112 163 158]
 [155 244 188 ...  99 150 145]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
6,6,1045.mp4,0,"[[1.         0.99883927 0.98334536 ... 0.         0.         0.        ]
 [0.99883927 1.         0.98676263 ... 0.         0.         0.        ]
 [0.98334536 0.98676263 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99883927 0.98334536 ... 0.         0.         0.        ]
 [0.99883927 1.         0.98676263 ... 0.         0.         0.        ]
 [0.98334536 0.98676263 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[224  31   7 ... 241  26  25]
 [225  32   8 ... 239  26  24]
 [224  29 255 ... 243  27  29]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
7,7,1048.mp4,0,"[[1.         0.99761434 0.99761746 ... 0.         0.         0.        ]
 [0.99761434 1.         0.99992018 ... 0.         0.         0.        ]
 [0.99761746 0.99992018 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99761434 0.99761746 ... 0.         0.         0.        ]
 [0.99761434 1.         0.99992018 ... 0.         0.         0.        ]
 [0.99761746 0.99992018 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[163 236 200 ...  72 102  98]
 [163 236 200 ...  72 102  98]
 [163 236 200 ...  73 102  98]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
8,8,1049.mp4,0,"[[1.         0.99835319 0.99830292 ... 0.         0.         0.        ]
 [0.99835319 1.         0.99991519 ... 0.         0.         0.        ]
 [0.99830292 0.99991519 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99835319 0.99830292 ... 0.         0.         0.        ]
 [0.99835319 1.         0.99991519 ... 0.         0.         0.        ]
 [0.99830292 0.99991519 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[150  73 239 ...  34 149 143]
 [149  73 238 ...  35 150 145]
 [149  73 238 ...  35 150 144]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
9,9,1062.mp4,0,"[[1.         0.99197567 0.99040932 ... 0.         0.         0.        ]
 [0.99197567 1.         0.99408815 ... 0.         0.         0.        ]
 [0.99040932 0.99408815 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[1.         0.99197567 0.99040932 ... 0.         0.         0.        ]
 [0.99197567 1.         0.99408815 ... 0.         0.         0.        ]
 [0.99040932 0.99408815 1.         ... 0.         0.         0.        ]
 ...
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]
 [0.         0.         0.         ... 0.         0.         0.        ]]","[[253 116  58 ...  31  93 102]
 [  5 120  61 ...  32  95 102]
 [ 15 124  68 ...  32  96 102]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]","[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
